"to learn|to study","ich lerne, du lernst, er/sie/es lernt, wir lernen, ihr lernt, sie lernen"
"to live| to stay","ich wohne, du wohnst, er/sie/es wohnt, wir wohnen, ihr wohnt, sie wohnen"
"to come","ich komme, du kommst, er/sie/es kommt, wir kommen, ihr kommt, sie kommen"
"to play","ich spiele, du spielst, er/sie/es spielt, wir spielen, ihr spielt, sie spielen"
"to do| to make","ich mache, du machst, er/sie/es macht, wir machen, ihr macht, sie machen"
"to study an academic subject| examine something carefully","ich studiere, du studierst, er/sie/es studiert, wir studieren, ihr studiert, sie studieren"
"to travel","ich reise, du reist, er/sie/es reist, wir reisen, ihr reist, sie reisen"
"to dance","ich tanze, du tanzt, er/sie/es tanzt, wir tanzen, ihr tanzt, sie tanzen"
"to be called","ich heiße, du heißt, er/sie/es heißt, wir heißen, ihr heißt, sie heißen"
"to work","ich arbeite, du arbeitest, er/sie/es arbeitet, wir arbeiten, ihr arbeitet, sie arbeiten"
"to bath","ich bade, du badest, er/sie/es badet, wir baden, ihr badet, sie baden"
"to answer|to reply","ich antworte, du antwortest, er/sie/es antwortet, wir antworten, ihr antwortet, sie antworten"
"to wait","ich warte, du wartest, er/sie/es wartet, wir warten, ihr wartet, sie warten"
"to hear|to listen","ich höre, du hörst, er/sie/es hört, wir hören, ihr hört, sie hören"
"to phone|to talk on the phone","ich telefoniere, du telefonierst, er/sie/es telefoniert, wir telefonieren, ihr telefoniert, sie telefonieren"
"to ask/question/query","ich frage, du fragst, er/sie/es fragt, wir fragen, ihr fragt, sie fragen"
"to say/tell","ich sage, du sagst, er/sie/es sagt, wir sagen, ihr sagt, sie sagen"
"to go/walk","ich gehe, du gehst, er/sie/es geht, wir gehen, ihr geht, sie gehen"
"to talk","ich rede, du redest, er/sie/es redet, wir reden, ihr redet, sie reden"
"to buy","ich kaufe, du kaufst, er/sie/es kauft, wir kaufen, ihr kauft, sie kaufen"
"to sell","ich verkaufe, du verkaufst, er/sie/es verkauft, wir verkaufen, ihr verkauft, sie verkaufen"
"to visit","ich besuche, du besuchst, er/sie/es besucht, wir besuchen, ihr besucht, sie besuchen"
"to be","ich bin, du bist, er/sie/es ist, wir sind, ihr seid, sie sind"
"to have","ich habe, du hast, er/sie/es hat, wir haben, ihr habt, sie haben"
"to become| to get/turn(indicating a change in state or condition)","ich werde, du wirst, er/sie/es wird, wir werden, ihr werdet, sie werden"
"to speak","ich spreche, du sprichst, er/sie/es spricht, wir sprechen, ihr sprecht, sie sprechen"
"to meet","ich treffe, du triffst, er/sie/es trifft, wir treffen, ihr trefft, sie treffen"
"to take","ich nehme, du nimmst, er/sie/es nimmt, wir nehmen, ihr nehmt, sie nehmen"
"to give","ich gebe, du gibst, er/sie/es gibt, wir geben, ihr gebt, sie geben"
"to eat","ich esse, du isst, er/sie/es isst, wir essen, ihr esst, sie essen"
"to help","ich helfe, du hilfst, er/sie/es hilft, wir helfen, ihr helft, sie helfen"
"to read","ich lese, du liest, er/sie/es liest, wir lesen, ihr lest, sie lesen"
"to see","ich sehe, du siehst, er/sie/es sieht, wir sehen, ihr seht, sie sehen"
"to recommend","ich empfehle, du empfiehlst, er/sie/es empfiehlt, wir empfehlen, ihr empfehlt, sie empfehlen"
"to run/walk","ich laufe, du läufst, er/sie/es läuft, wir laufen, ihr lauft, sie laufen"
"to drive/go","ich fahre, du fährst, er/sie/es fährt, wir fahren, ihr fahrt, sie fahren"
"to sleep","ich schlafe, du schläfst, er/sie/es schläft, wir schlafen, ihr schlaft, sie schlafen"
"to wash","ich wasche, du wäschst, er/sie/es wäscht, wir waschen, ihr wascht, sie waschen"
"to know(a fact or piece of information)","ich weiß, du weißt, er/sie/es weiß, wir wissen, ihr wisst, sie wissen"
"to know(a person or place)","ich kenne, du kennst, er/sie/es kennt, wir kennen, ihr kennt, sie kennen"
"can/able to","ich kann, du kannst, er/sie/es kann, wir können, ihr könnt, sie können"
"should/suppose to be","ich soll, du sollst, er/sie/es soll, wir sollen, ihr sollt, sie sollen"
"have to/need to","ich muss, du musst, er/sie/es muss, wir müssen, ihr müsst, sie müssen"
"want to","ich will, du willst, er/sie/es will, wir wollen, ihr wollt, sie wollen"
"allowed to/may","ich darf, du darfst, er/sie/es darf, wir dürfen, ihr dürft, sie dürfen"
"like to","ich mag, du magst, er/sie/es mag, wir mögen, ihr mögt, sie mögen"
"would like to/would love to","ich möchte, du möchtest, er/sie/es möchte, wir möchten, ihr möchtet, sie möchten"
"to stay/remain","ich bleibe, du bleibst, er/sie/es bleibt, wir bleiben, ihr bleibt, sie bleiben"
"to clean/wipe","ich putze, du putzt, er/sie/es putzt, wir putzen, ihr putzt, sie putzen"
"to explain","ich erkläre, du erklärst, er/sie/es erklärt, wir erklären, ihr erklärt, sie erklären"
"to pay","ich bezahle, du bezahlst, er/sie/es bezahlt, wir bezahlen, ihr bezahlt, sie bezahlen"
"to bring so/sth","ich bringe, du bringst, er/sie/es bringt, wir bringen, ihr bringt, sie bringen"
"to rise/increase","ich steige, du steigst, er/sie/es steigt, wir steigen, ihr steigt, sie steigen"
"to trap/catch/capture so or sth","ich fange, du fängst, er/sie/es fängt, wir fangen, ihr fangt, sie fangen"
"to miss/lack | to be absent/missing","ich fehle, du fehlst, er/sie/es fehlt, wir fehlen, ihr fehlt, sie fehlen"
"to stand/rise","ich stehe, du stehst, er/sie/es steht, wir stehen, ihr steht, sie stehen"
"to look for so/sth | to search sth","ich suche, du suchst, er/sie/es sucht, wir suchen, ihr sucht, sie suchen"
"to wear/carry sth","ich trage, du trägst, er/sie/es trägt, wir tragen, ihr tragt, sie tragen"
"to hope/expect","ich hoffe, du hoffst, er/sie/es hofft, wir hoffen, ihr hofft, sie hoffen"
"to gift/present someone sth","ich schenke, du schenkst, er/sie/es schenkt, wir schenken, ihr schenkt, sie schenken"
"to think(opinion about so or sth) | to find sth | to locate so/sth","ich finde, du findest, er/sie/es findet, wir finden, ihr findet, sie finden"
"to fetch/get sth","ich hole, du holst, er/sie/es holt, wir holen, ihr holt, sie holen"
"to taste/try out/sample sth (used to figure out if you like sth or not)","ich probiere, du probierst, er/sie/es probiert, wir probieren, ihr probiert, sie probieren"
"to need/require sth","ich brauche, du brauchst, er/sie/es braucht, wir brauchen, ihr braucht, sie brauchen"
"to order/reserve/book sth","ich bestelle, du bestellst, er/sie/es bestellt, wir bestellen, ihr bestellt, sie bestellen"
"to send/forward/ship sth","ich schicke, du schickst, er/sie/es schickt, wir schicken, ihr schickt, sie schicken"
"to put/place/lay horizontal (eg phone|book etc)","ich lege, du legst, er/sie/es legt, wir legen, ihr legt, sie legen"
"to repeat/revise","ich wiederhole, du wiederholst, er/sie/es wiederholt, wir wiederholen, ihr wiederholt, sie wiederholen"
"to believe/think(beliefs|assumptions|faith)","ich glaube, du glaubst, er/sie/es glaubt, wir glauben, ihr glaubt, sie glauben"
"to happen","ich passiere, du passierst, er/sie/es passiert, wir passieren, ihr passiert, sie passieren"
"to understand","ich verstehe, du verstehst, er/sie/es versteht, wir verstehen, ihr versteht, sie verstehen"
"to taste(to express that something tastes good or bad)","ich schmecke, du schmeckst, er/sie/es schmeckt, wir schmecken, ihr schmeckt, sie schmecken"
"to belong to so/sth | to be owned by so","ich gehöre, du gehörst, er/sie/es gehört, wir gehören, ihr gehört, sie gehören"
"to fit/suit | to match sth","ich passe, du passt, er/sie/es passt, wir passen, ihr passt, sie passen"
"to appeal/like good/bad to so| to please me","ich gefalle, du gefällst, er/sie/es gefällt, wir gefallen, ihr gefallt, sie gefallen"
"to lie| to be located","ich liege, du liegst, er/sie/es liegt, wir liegen, ihr liegt, sie liegen"
"to get/receive","ich bekomme, du bekommst, er/sie/es bekommt, wir bekommen, ihr bekommt, sie bekommen"
"to leave/depart","ich fahre ab, du fährst ab, er/sie/es fährt ab, wir fahren ab, ihr fahrt ab, sie fahren ab"
"to collect/fetch/pickup so or sth from a place","ich hole ab, du holst ab, er/sie/es holt ab, wir holen ab, ihr holt ab, sie holen ab"
"to start/begin","ich fange an, du fängst an, er/sie/es fängt an, wir fangen an, ihr fangt an, sie fangen an"
"to arrive(focus on reaching the destination)","ich komme an, du kommst an, er/sie/es kommt an, wir kommen an, ihr kommt an, sie kommen an"
"to telephone so","ich rufe an, du rufst an, er/sie/es ruft an, wir rufen an, ihr ruft an, sie rufen an"
"to stop/end/finish [for stopping/quitting an action]","ich höre auf, du hörst auf, er/sie/es hört auf, wir hören auf, ihr hört auf, sie hören auf"
"to open sth(informal)","ich mache auf, du machst auf, er/sie/es macht auf, wir machen auf, ihr macht auf, sie machen auf"
"to standup/ to getup","ich stehe auf, du stehst auf, er/sie/es steht auf, wir stehen auf, ihr steht auf, sie stehen auf"
"to appear | to look good/bad/nice","ich sehe aus, du siehst aus, er/sie/es sieht aus, wir sehen aus, ihr seht aus, sie sehen aus"
"to shop","ich kaufe ein, du kaufst ein, er/sie/es kauft ein, wir kaufen ein, ihr kauft ein, sie kaufen ein"
"to invite","ich lade ein, du lädst ein, er/sie/es lädt ein, wir laden ein, ihr ladet ein, sie laden ein"
"to watch TV","ich sehe fern, du siehst fern, er/sie/es sieht fern, wir sehen fern, ihr seht fern, sie sehen fern"
"to bring so/sth along","ich bringe mit, du bringst mit, er/sie/es bringt mit, wir bringen mit, ihr bringt mit, sie bringen mit"
"to accompany/to come along(with so)","ich komme mit, du kommst mit, er/sie/es kommt mit, wir kommen mit, ihr kommt mit, sie kommen mit"
"to read aloud/to read something to someone","ich lese vor, du liest vor, er/sie/es liest vor, wir lesen vor, ihr lest vor, sie lesen vor"
"to listen to so/sth","ich höre zu, du hörst zu, er/sie/es hört zu, wir hören zu, ihr hört zu, sie hören zu"
"to close sth","ich mache zu, du machst zu, er/sie/es macht zu, wir machen zu, ihr macht zu, sie machen zu"
"to come back/to return","ich komme zurück, du kommst zurück, er/sie/es kommt zurück, wir kommen zurück, ihr kommt zurück, sie kommen zurück"
"to get on/in sth | to board","ich steige ein, du steigst ein, er/sie/es steigt ein, wir steigen ein, ihr steigt ein, sie steigen ein"
"to step/get out(of sth)/ to back out","ich steige aus, du steigst aus, er/sie/es steigt aus, wir steigen aus, ihr steigt aus, sie steigen aus"
"to change(for somewhere)","ich steige um, du steigst um, er/sie/es steigt um, wir steigen um, ihr steigt um, sie steigen um"
"to take so/sth along| to pick so/sth","ich nehme mit, du nimmst mit, er/sie/es nimmt mit, wir nehmen mit, ihr nehmt mit, sie nehmen mit"
"to switch/turn/start(start of sports|car|machine) sth on","ich schalte ein, du schaltest ein, er/sie/es schaltet ein, wir schalten ein, ihr schaltet ein, sie schalten ein"
