"to present/introduce so/sth | to imagine sth","ich stelle vor, du stellst vor, er/sie/es stellt vor, wir stellen vor, ihr stellt vor, sie stellen vor"
"to prepare/set/arrange sth","ich bereite zu, du bereitest zu, er/sie/es bereitet zu, wir bereiten zu, ihr bereitet zu, sie bereiten zu"
"to prepare/set/arrange sth in advance","ich bereite vor, du bereitest vor, er/sie/es bereitet vor, wir bereiten vor, ihr bereitet vor, sie bereiten vor"
"to get to know/acquainted so/sth | to meet so in person","ich lerne kennen, du lernst kennen, er/sie/es lernt kennen, wir lernen kennen, ihr lernt kennen, sie lernen kennen"
"to show so/sth | to exhibit","ich zeige, du zeigst, er/sie/es zeigt, wir zeigen, ihr zeigt, sie zeigen"
"to turn sth off (spoken)","ich mache aus, du machst aus, er/sie/es macht aus, wir machen aus, ihr macht aus, sie machen aus"
"to switch sth off (normal)","ich schalte aus, du schaltest aus, er/sie/es schaltet aus, wir schalten aus, ihr schaltet aus, sie schalten aus"
"to power off (formal)","ich schalte ab, du schaltest ab, er/sie/es schaltet ab, wir schalten ab, ihr schaltet ab, sie schalten ab"
"to lean/rest on/against sth","ich lehne, du lehnst, er/sie/es lehnt, wir lehnen, ihr lehnt, sie lehnen"
"to jump/bounce/leap","ich springe, du springst, er/sie/es springt, wir springen, ihr springt, sie springen"
"to repair/fix","ich repariere, du reparierst, er/sie/es repariert, wir reparieren, ihr repariert, sie reparieren"
"to let","ich lasse, du lässt, er/sie/es lässt, wir lassen, ihr lasst, sie lassen"
"to spell sth","ich buchstabiere, du buchstabierst, er/sie/es buchstabiert, wir buchstabieren, ihr buchstabiert, sie buchstabieren"
"to forget sth","ich vergesse, du vergisst, er/sie/es vergisst, wir vergessen, ihr vergesst, sie vergessen"
"to wake up(the moment you open your eyes)","ich wache auf, du wachst auf, er/sie/es wacht auf, wir wachen auf, ihr wacht auf, sie wachen auf"
"to grow ","ich wachse, du wächst, er/sie/es wächst, wir wachsen, ihr wachst, sie wachsen"
"to think (mental process - ideas, memories )","ich denke, du denkst, er/sie/es denkt, wir denken, ihr denkt, sie denken"
"to describe sth ","ich beschreibe, du beschreibst, er/sie/es beschreibt, wir beschreiben, ihr beschreibt, sie beschreiben"
"to mean - what a word or sign means or signify(What does this signify?)","ich bedeute, du bedeutest, er/sie/es bedeutet, wir bedeuten, ihr bedeutet, sie bedeuten"
"to be happy/pleased/glad | to look forward","ich freue mich, du freust dich, er/sie/es freut sich, wir freuen uns, ihr freut euch, sie freuen sich"
"to fly","ich fliege, du fliegst, er/sie/es fliegt, wir fliegen, ihr fliegt, sie fliegen"
"to go out(T-Verb)","ich gehe aus, du gehst aus, er/sie/es geht aus, wir gehen aus, ihr geht aus, sie gehen aus"
"to go back| to return(T-Verb)","ich gehe zurück, du gehst zurück, er/sie/es geht zurück, wir gehen zurück, ihr geht zurück, sie gehen zurück"
"to party/celebrate","ich feiere, du feierst, er/sie/es feiert, wir feiern, ihr feiert, sie feiern"
"to participate/to take part(T-Verb)","ich nehme teil, du nimmst teil, er/sie/es nimmt teil, wir nehmen teil, ihr nehmt teil, sie nehmen teil"
"to lose so/sth","ich verliere, du verlierst, er/sie/es verliert, wir verlieren, ihr verliert, sie verlieren"
"to come in/to enter(T-Verb)","ich komme rein, du kommst rein, er/sie/es kommt rein, wir kommen rein, ihr kommt rein, sie kommen rein"
"to lend/borrow","ich leihe, du leihst, er/sie/es leiht, wir leihen, ihr leiht, sie leihen"
"to wish for sth| to want sth","ich wünsche, du wünschst, er/sie/es wünscht, wir wünschen, ihr wünscht, sie wünschen"
"to tell so sth|to narrate","ich erzähle, du erzählst, er/sie/es erzählt, wir erzählen, ihr erzählt, sie erzählen"
"to take a walk","ich spaziere, du spazierst, er/sie/es spaziert, wir spazieren, ihr spaziert, sie spazieren"
"to leave so/sth","ich verlasse, du verlässt, er/sie/es verlässt, wir verlassen, ihr verlasst, sie verlassen"
"to pay attention| to watch out| to watch so/sth","ich passe auf, du passt auf, er/sie/es passt auf, wir passen auf, ihr passt auf, sie passen auf"
"to mean/think - what a person wants to say / think(What do you mean by that?)","ich meine, du meinst, er/sie/es meint, wir meinen, ihr meint, sie meinen"
"to hang","ich hänge, du hängst, er/sie/es hängt, wir hängen, ihr hängt, sie hängen"
"to halt/stop/hold/keep sth | to consider/regard","ich halte, du hältst, er/sie/es hält, wir halten, ihr haltet, sie halten"
"to push( with force)","ich stoße, du stößt, er/sie/es stößt, wir stoßen, ihr stoßt, sie stoßen"
"to allow/permit(The act of granting permission)","ich erlaube, du erlaubst, er/sie/es erlaubt, wir erlauben, ihr erlaubt, sie erlauben"
"to examine/check(MED) | to investigate sth","ich untersuche, du untersuchst, er/sie/es untersucht, wir untersuchen, ihr untersucht, sie untersuchen"
"to try|attempt (ie trying/attempting to do something)","ich versuche, du versuchst, er/sie/es versucht, wir versuchen, ihr versucht, sie versuchen"
"to fall asleep","ich schlafe ein, du schläfst ein, er/sie/es schläft ein, wir schlafen ein, ihr schlaft ein, sie schlafen ein"
