"What is the Nominative equivalent of 'I'?","ich"
"What is the Accusative equivalent of 'me'?","mich"
"What is the Dative equivalent of 'to/for me'?","mir"
"What is the Nominative meaning of 'ich'?","I"
"What is the Accusative meaning of 'mich'?","me"
"What is the Dative meaning of 'mir'?","to/for me"
"What is the Nominative equivalent of 'you' (singular)?","du"
"What is the Accusative equivalent of 'you' (singular)?","dich"
"What is the Dative equivalent of 'to/for you' (singular)?","dir"
"What is the Nominative meaning of 'du'?","you (singular)"
"What is the Accusative meaning of 'dich'?","you (singular)"
"What is the Dative meaning of 'dir'?","to/for you (singular)"
"What is the Nominative equivalent of 'he'?","er"
"What is the Accusative equivalent of 'him'?","ihn"
"What is the Dative equivalent of 'to/for him'?","ihm"
"What is the Nominative meaning of 'er'?","he"
"What is the Accusative meaning of 'ihn'?","him"
"What is the Dative meaning of 'ihm'?","to/for him"
"What is the Nominative equivalent of 'she'?","sie"
"What is the Accusative equivalent of 'her'?","sie"
"What is the Dative equivalent of 'to/for her'?","ihr"
"What is the Nominative meaning of 'sie' (she)?","she"
"What is the Accusative meaning of 'sie' (her)?","her"
"What is the Dative meaning of 'ihr' (to/for her)?","to/for her"
"What is the Nominative equivalent of 'it'?","es"
"What is the Accusative equivalent of 'it' (object)?","es"
"What is the Dative equivalent of 'to/for it'?","ihm"
"What is the Nominative meaning of 'es'?","it"
"What is the Accusative meaning of 'es' (object)?","it"
"What is the Dative meaning of 'ihm' (to/for it)?","to/for it"
"What is the Nominative equivalent of 'we'?","wir"
"What is the Accusative equivalent of 'us'?","uns"
"What is the Dative equivalent of 'to/for us'?","uns"
"What is the Nominative meaning of 'wir'?","we"
"What is the Accusative meaning of 'uns' (us)?","us"
"What is the Dative meaning of 'uns' (to/for us)?","to/for us"
"What is the Nominative equivalent of 'you all'?","ihr"
"What is the Accusative equivalent of 'you all' (object)?","euch"
"What is the Dative equivalent of 'to/for you all'?","euch"
"What is the Nominative meaning of 'ihr' (you all)?","you all"
"What is the Accusative meaning of 'euch' (you all)?","you all"
"What is the Dative meaning of 'euch' (to/for you all)?","to/for you all"
"What is the Nominative equivalent of 'they'?","sie"
"What is the Accusative equivalent of 'them'?","sie"
"What is the Dative equivalent of 'to/for them'?","ihnen"
"What is the Nominative meaning of 'sie' (they)?","they"
"What is the Accusative meaning of 'sie' (them)?","them"
"What is the Dative meaning of 'ihnen'?","to/for them"
"What is the Nominative equivalent of 'you' (formal)?","Sie"
"What is the Accusative equivalent of 'you' (formal)?","Sie"
"What is the Dative equivalent of 'to/for you' (formal)?","Ihnen"
"What is the Nominative meaning of 'Sie' (formal)?","you (formal)"
"What is the Accusative meaning of 'Sie' (formal)?","you (formal)"
"What is the Dative meaning of 'Ihnen'?","to/for you (formal)"
