against/toward/around(When used as time expression),gegen-akku
without,ohne-akku
through,durch-akku
for,für-akku
at(time)/around,um-akku
till/until,bis-akku
along/down,entlang-akku
out of/from,aus-dativ
from/by/of,von-dativ
with/by,mit-dativ
at/near/with,bei-dativ
to/at/for,zu-dativ
after/to,nach-dativ
since(time)/for,seit-dativ
opposite/across,gegenüber-dativ
except for/besides,außer-dativ
in front of/before/ago(time),vor-wechsel
in/into/at,in-wechsel
at/on/to/about,an-wechsel
on/upon/onto/at/for,auf-wechsel
behind,hinter-wechsel
above/over,über-wechsel
under/among,unter-wechsel
next to/beside/near,neben-wechsel
between,zwischen-wechsel
